name,region,life_expectancy_years,infant_mortality_per_1000,maternal_mortality_per_100000
Tajikistan,Central Asia,71.9,20.3,14
Mongolia,East and Southeast Asia,71.9,8.6,41
Cambodia,East and Southeast Asia,71.4,27.2,137
Philippines,East and Southeast Asia,70.8,18.5,84
Tanzania,Africa,70.8,28.4,276
Senegal,Africa,70.6,30.4,237
Ukraine,Europe,70.5,8.4,15
Timor-Leste,East and Southeast Asia,70.5,41.9,192
Gabon,Africa,70.4,26,233
Kenya,Africa,70.4,26.8,379
Burma,East and Southeast Asia,70.3,30.8,185
Pakistan,South Asia,70.3,50.3,155
Moldova,Europe,70.1,13.5,19
Ghana,Africa,70.1,30.5,234
Papua New Guinea,East and Southeast Asia,70.1,31.3,189
Uganda,Africa,69.7,27.5,170
Laos,East and Southeast Asia,69,34.2,112
Tuvalu,Australia and Oceania,69,27.2,170
Peru,South America,68.9,10.6,51
Madagascar,Africa,68.8,38.4,445
Nauru,Australia and Oceania,68.6,7.5,273
Kiribati,Australia and Oceania,68.5,30.8,80
"Gambia, The",Africa,68.4,35,354
India,South Asia,68.2,30.5,80
Yemen,Middle East,68.2,42.4,118
Burundi,Africa,68.1,35.3,392
Comoros,Africa,67.8,53.9,179
Sudan,Africa,67.8,39.7,256
Sao Tome and Principe,Africa,67.7,41.7,75
Ethiopia,Africa,67.7,31.3,195
Eritrea,Africa,67.5,39,291
Zimbabwe,Africa,67.2,32.8,358
Zambia,Africa,66.9,30.1,85
Rwanda,Africa,66.6,27.4,229
Botswana,Africa,66.4,27.8,155
Djibouti,Africa,65.9,44.3,162
Namibia,Africa,65.9,27.1,139
Mauritania,Africa,65.9,29.9,381
Haiti,Central America and the Caribbean,65.6,35,328
Guinea,Africa,64.6,45.8,494
Guinea-Bissau,Africa,64.5,45.1,505
Burkina Faso,Africa,64.2,48,242
Cameroon,Africa,64.2,44.6,258
Equatorial Guinea,Africa,63.9,76.9,174
Mali,Africa,63.2,55.8,367
Cote d'Ivoire,Africa,63.2,52.3,359
Benin,Africa,63,51.6,518
Angola,Africa,62.9,46.1,183
"Congo, Democratic Republic of the",Africa,62.6,55.8,427
Nigeria,Africa,62.2,65.6,993
Liberia,Africa,61.6,55.2,628
Niger,Africa,60.9,63,350
Eswatini,Africa,60.7,38,118
South Sudan,Africa,60.3,58.6,692
Lesotho,Africa,60.2,52.2,478
Chad,Africa,60,61.1,748
Sierra Leone,Africa,59.4,70.1,354
Mozambique,Africa,58.3,56.7,82
Somalia,Africa,56.5,81.5,563
Central African Republic,Africa,56.4,79.3,692
Afghanistan,South Asia,54.4,42,521
